read9828 85002 0.0 0.0 0.0 0.0 0.0
read9796 85002 0.004050632911392405 0.0 0.0 0.0 0.0 read9828
read14875 85002 0.0027677993051057064 0.0 0.0 0.0 0.0 read9828
read12531 79064 0.005241449330541278 0.0 0.0 0.0 0.03 read9828
read11595 79064 0.015951511462771354 0.098 0.0 0.03 0.0 read9828
read14948 79064 0.017149660553247542 0.04 0.0 0.04 0.01 read9796
read15477 79064 7.470623987034036E-4 0.0 0.0 0.01 0.01 read9828
read498 79064 0.0012909104715620016 0.0 0.0 0.0 0.0 read9828
read9276 79064 0.0020873129324849144 0.0 0.0 0.0 0.0 read9828
read5583 78412 0.0033059750073395197 0.011976047904191617 0.0 0.02 0.0 read9828
read8848 78412 0.015353566319231555 0.0 0.028 0.0 0.01 read5583
read2433 71791 0.0086329928641388 0.032 0.056 0.0 0.18 read9828
read11913 71791 0.002048780487804878 0.0 0.0 0.0 0.0 read9828
read15929 70308 0.0093051843169766 0.002 0.0 0.0 0.0 read9828
read6008 69726 0.008707078291506628 0.0 0.0 0.0 0.0 read15929
read2278 69726 0.01591789866513564 0.02 0.0 0.0 0.0 read498
read3764 69726 0.013817743532349016 0.034 0.0 0.03 0.01 read2278
read8569 64792 0.0015034097954122754 0.0 0.0 0.0 0.0 read6008
read8137 64792 0.008003722661703117 0.026 0.0 0.0 0.01 read15929
read8541 64792 0.0024298515778558493 0.0 0.0 0.0 0.0 read15929
read1777 64792 0.002470699053413425 0.0 0.0 0.0 0.0 read2433
read9504 63397 0.025961903556511835 0.034 0.0 0.03 0.0 read12531
read8235 63397 0.005334434089574039 0.002 0.0 0.0 0.0 read15929
read17127 63397 0.011833759348669886 0.024 0.0 0.0 0.01 read15477
read10743 63397 0.006579051165138917 0.05 0.002 0.05 0.0 read3764
read8332 61007 0.007890913893291072 0.0 0.0 0.0 0.01 read15929
read4819 61007 0.026003094039037555 0.02 0.0 0.08 0.0 read9828
read14367 61007 0.0 0.0 0.0 0.0 0.0
read4917 61007 0.018866686353643733 0.008 0.007905138339920948 0.04 0.0 read1777
read12003 59324 0.010242368928100598 0.0 0.0 0.0 0.0 read9828
read15722 59324 0.023178639757547026 0.04590818363273453 0.098 0.0 0.28 read9828
read11132 59324 0.018182431520712455 0.03 0.004 0.05 0.01 read9796
